IL31RA	OSMR
CRY2	PER1
SPG7	PHB2
SUPT4H1	NCBP2
DCLRE1C	MRE11
RND1	FYN
KTN1	KIF5A
FGFR1	FGF23
IL12A	STAT4
HGS	AP1G2
BMP2	ACVR2B
TNFRSF11B	TNFSF11
ELL	ZC3H8
CSK	CD274
MAML2	PLXND1
GRAP2	PAK2
TLE4	TLE5
CCNT1	SMAD4
PRKACA	IL3
IGF2	IRS4
APP	CASP1
CYLD	RIPK1
GRIK3	GRIK2
CBL	RAPGEF1
CDK2	CDC6
PIK3CA	SHC1
BMP1	LOX
CACNA1G	NCAM1
GRB2	FYN
RIN3	GDI2
TRAV29DV5	CD3D
RPA3	POLB
PEX10	UBE2D2
GRB10	ARTN
GOSR1	BET1L
BNIP2	CDON
TFDP1	CDT1
VEGFA	FLT1
RELA	NFKBIA
LAMB3	PLEC
C3	CR1
NCBP1	CTDP1
KSR1	MAP2K2
GYS2	PPP1R3C
TANK	TRAF2
CAMK2D	CAMK2B
CYLD	CLIP3
DLG2	NRAS
H2AX	RNF168
NFYC	SP1
ZFYVE9	SMAD3
WIPF3	CDC42
PRELID1	TRIAP1
LIG1	POLB
ZDHHC2	CKAP4
CD14	CASP8
SMAD2	FOXO3
GCC2	RAB9A
SUMO2	MRE11
PTPN6	TYK2
AP1S3	HLA-A
USP1	RPA2
MSRB2	TXN
PTPRS	LRRC4B
TBK1	TRAF2
CBL	SOS1
NBAS	STX18
CD247	CRK
FMNL3	ACTB
RBX1	CETN2
NPTN	GABRB3
EGLN2	HIF3A
NBN	CHEK2
ADRA2C	GNB1
PPP2R2A	BANF1
NCAM1	SPTAN1
USO1	SEC24D
CLU	C5
PRIM1	POLA1
RAB14	GDI1
SHANK2	DLG3
BTC	SHC1
KAT5	CDK2
RAB3GAP2	GDI2
HDAC3	NR2E1
RBX1	CHD1L
GAB1	EPO
BABAM2	BRCC3
ANKRD27	RAB21
IL13RA1	JAK2
EGF	EGFR
CDK1	MAP2K1
NOS3	AKT1
GFRA1	PIK3CB
MET	RANBP9
PMPCB	NDUFB8
EDARADD	EDA
CSK	CD4
ESR1	HSP90AB1
FOXA1	GTF2A2
E2F1	E2F4
CHUK	BTRC
DNM2	AP1B1
GABRR3	GABRR2
YWHAB	RAF1
USP10	CFTR
DVL3	PIP5K1B
IL1A	MYD88
BMI1	PHC3
CLTCL1	AP2S1
PAK3	EFNB2
IGHD	CD79A
PRMT5	EP300
RUNX1	TJP1
HTT	MECP2
IRAK1	UBE2V1
POLE3	PRIM2
EFNB1	KALRN
TRAV8-4	LAT
PLAT	PDGFD
PLXNA1	TREM2
NRTN	GAB2
MARK3	YWHAB
PPM1A	PRKAG1
CASK	EPB41
RET	PIK3CA
INPPL1	IL5RA
CBFB	SMAD6
ELOB	LIMD1
TGIF1	SMAD3
INHA	INHBC
GAA	GYG1
SEC22B	USE1
NCOA1	NR1H2
C1QA	C1QC
CLASP2	SLIT2
SETD6	NFKB1
LAMB1	L1CAM
HSP90AA1	FKBP4
PTCH1	CDON
NUDT21	PCF11
DCC	PTPN11
RIMS1	UNC13B
ERCC1	RPA1
ERO1A	INS
RNF152	RRAGA
DUSP7	MAPK7
HMGA2	CABIN1
SNF8	MVB12A
PRKAG2	PIK3C3
POLD4	RPA2
UBE2D3	RBX1
NPHS1	ACTN1
IL5RA	PIK3CB
PPFIA1	PTPRF
PHYH	PEX13
TNNC1	TNNT2
PTCH1	SMURF2
JAK1	IL27
SREBF2	SP1
PIK3R2	SYK
PSEN1	NGF
TFDP2	TK1
UBE2I	NPM1
MIR27A	CBFB
SREBF1	NRIP1
TAB3	TICAM2
KDR	CDC42
DYNLL2	BICD1
GNA11	TRIO
EGLN3	HIF3A
TRBV7-9	CD1A
NFYB	PMVK
TRAV29DV5	PRKCQ
SHANK2	DLG4
SH3GL2	AP2A2
IL11RA	IL11
PRKAA2	PRKAG1
PML	SUMO1
SEC24A	SEC16B
CAMK1	GIT1
DCTN5	DCTN6
FYN	CD86
GRB2	CBL
PLCB1	GNAQ
NAPA	GOSR1
SOCS3	LEP
ATP1B3	BSG
EIF4E	EIF1AX
PRKAA1	AMBRA1
TRRAP	TCF4
PARL	YME1L1
SPTA1	SCN1B
ING5	MEAF6
VTN	C7
PYCARD	CASP1
FTH1	SH3D19
DYNLL2	CAPZB
IGFBP1	FOXO4
SMAD4	PPM1A
TP53	ING5
MBTPS1	SREBF1
ACTG1	AFDN
FRS2	KRAS
WWP1	SGK3
S100A1	LY96
TEC	LAT
WASL	NTN1
NCOR2	TBL1X
TRAV19	GRAP2
CSF2	CREBBP
GRB2	BCR
FANCI	ATRIP
UBE2I	XRCC4
GRIN2B	DLG3
